common_voice_pt_34567100|Tapes
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646223.mp3	983617bd8638398561d9b2441c1a6293ff88f6749d99c2e373d276753a0f0b95	Vai passar		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646224.mp3	9b467e7c5344b236091574005921d64b654a0bda9ee7a0d115b6dff28fb966c3	Uma mulher inteligente pode negar um beijo para que ela não fique sem ele.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646225.mp3	9c2390e2f10464e56c32f19ba08ecbe583e581c60bd0cf4bc9242deacefae1af	De que país você é?		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646226.mp3	9f20dc09d40c586952af154a74d0386dce858881f150615127d25a0af62f3f97	Dê meus cumprimentos ao seu irmão pela formatura.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646227.mp3	722233a61bc0c600baf79421ac2e78243bd6168aaa23057077aff0dfb4d1f08b	Para a Virgem de agosto, às sete é escuro à noite.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646274.mp3	9431c17ae5f642304f8f96a4cb5fdc0d05fdfcf970363941eb55831a335857ad	Guaporé		9	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646275.mp3	99233b1009d65eaf37a55cb97547e372f61221564e4f5c7470c418ef4c4cf996	Turvânia		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646277.mp3	933e9ef23f73e6a0fa699cddbb427f19fc68e5d7f791340d39b39fb6342409e2	Oh, será uma boa jogada e vale a pena tentar.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646278.mp3	6e2e5f803b7439958eaf9fb991b66ffbcf30dfab73b51c0b3c5809ae80d2591f	O pecado faz um buraco		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646280.mp3	a0fe539683f3a054b35139abcac44598452b54a7eaffdcc0c7e36d53149e76c8	Paraguaçu Paulista		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646347.mp3	8c4f3652e7c9370da9fb16220ea0e58bb46f0945dc54d0b345fe6bf0624b5c82	Poção de Pedras		6	3	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646349.mp3	9af36538a69e3ca274e9c0acfa877c6e14f9657aefaf6a59da25113e9808adbf	Miracema		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646350.mp3	9da233f1ad0c8a38d0e175523911dafbec1c612b5f498275b10b0bcfc901474d	Quintana		3	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646351.mp3	9848a8849211d93025f45aa833f14b943c92fa4f43d61a3ca35b5ea404e5b248	Virgolândia		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646352.mp3	99b0e5c8d05aa6bd8ad07788de8f183f4983ce4115ec0865eed6b2b6018e296d	As posições que não cobrem dois terços da avaliação não serão aceitas.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646383.mp3	9faafe9250435c4446e7e9498b94657b68a452686c9d4ff903324f6c9dc3de53	Piquet Carneiro		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646384.mp3	94fc08ef28f8f6372baef990e8220cd5f8b80487c588c26d4ddf27ea14704f3c	Medianeira		6	3	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646385.mp3	7b7ffa70cf09d89aaae5cbd0ad9d5b8c9cb33e0d8d683bbac184e53c2d92b2a9	Como posso ajudar?		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646386.mp3	958eb082bcd58f09a840ce53cda598b69cabaebb9e788b577e627a81cad55f97	Tratamento para calvície		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646387.mp3	a11b6fcd67e85fdc60ea035f7c39e06e272c5d3dae1cbbb22c75fa8873b06000	Presidente Nereu		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646428.mp3	8f852b6e611fd8d75e1095942a519cc118ddda0fbe010de47cba7c29de567ac5	Aquele que avisa não é um traidor.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646429.mp3	9b6a13e7ed305b841b9f03435b4a11d4522edb390f9f47cc29773f64b547307c	Cerro Grande		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646430.mp3	2ab77a9722787bb896e1577b40189281aa17bd66b7819e5c42a9b297b510e7b8	Recebeu um presente de grego		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646431.mp3	96f73d4885f41568cc65df98d07890912f6a6e12a6f651918ccd1c7809d5dd76	Adicione uma pitada de açúcar e outra de sal.		6	0	thirties	male_masculine	Paranaense, mesclado com Rondoniense|Pai e Mãe nordestinos, possuo pouquíssimo sotaque dessa região do Brasil.	Portuguese (Brasil)	pt	
0e07a6c5f94a522f5069a00c96550a1a54202ab33d978ac359b44688d71c251c369e53ebf59810e93668158cb937a6364f5d53aae4b8efc869e775cafe80a3a5	common_voice_pt_34646432.mp3	97980be73551a78fa685e50ac155378973a4d8bda79303ea464cdf45b4985baf	Reporte as sentenças incorretas no botão relatar"
common_voice_pt_34646480|Pode agitar para frente e para trás
common_voice_pt_34646481|Não insira todos os ovos no mesmo cesto.
common_voice_pt_34646483|Ouriçangas
common_voice_pt_34646484|Eu digo que estas nações estão prontas para a conquista.
common_voice_pt_34646485|Godoy Moreira
common_voice_pt_34646579|Cajazeiras do Piauí
common_voice_pt_34646585|Não haverá ressentimento e nem será necessário pedido de desculpas
common_voice_pt_34646588|Darcinópolis
common_voice_pt_34646589|Lagoão
common_voice_pt_34646591|Voe de pássaros, a chuva atrás deles.
common_voice_pt_34646631|Nunca ande em uma ponte, barco ou porto.
common_voice_pt_34646633|Na Catalunha e em Castela, o cavalo carrega o selo.
common_voice_pt_34646634|Porto Esperidião
common_voice_pt_34646635|Sobre abóboras
common_voice_pt_34646637|A atitude do superior e do inferior não é bem guardada.
common_voice_pt_34646722|Turilândia
common_voice_pt_34646723|Por que você acha isso?
common_voice_pt_34646724|Centralizar reflexões e avaliações
common_voice_pt_34646725|Entrevista exclusiva
common_voice_pt_34646805|Enéas Marques
common_voice_pt_34646806|O sol saiu ou você me sorriu?
common_voice_pt_34646807|Você precisa aproveitar a oportunidade.
common_voice_pt_34646809|Nós viemos da Selva de Mar.
common_voice_pt_34646811|Protestou contra a fome em frente à mansão
common_voice_pt_34646863|uma falta no silêncio do ar.
common_voice_pt_34646864|Nesta alta altitude, o ar está limpo.
common_voice_pt_34646867|Cruzeiro do Oeste
common_voice_pt_34646868|Nísia Floresta
common_voice_pt_34646870|Nós viemos de Milão.
common_voice_pt_34646913|Ipaussu
common_voice_pt_34646915|à porta de um correeiro
common_voice_pt_34646916|Em agosto, a trilha perecedora.
common_voice_pt_34646917|Alto Parnaíba
common_voice_pt_34646918|Potengi
common_voice_pt_34646965|O peixe, porque a garganta morre.
common_voice_pt_34646966|Salmourão
common_voice_pt_34646967|Tupanatinga
common_voice_pt_34646968|Candói
common_voice_pt_34646969|Ele saiu do inferno e ele não quer voltar.
common_voice_pt_34647024|minhas férias foram ótimas
common_voice_pt_34647026|Nosso carro acontece que agora existe algo em volta, se puder ajudar.
common_voice_pt_34647027|Guabiruba
common_voice_pt_34647028|Cacaulândia
common_voice_pt_34647030|O mar, quanto mais você tem, mais vibra.
common_voice_pt_34647083|deitados moles na cama onde esperam sem sono;
common_voice_pt_34647086|Quatro horas trabalhadas e nos confrontaram.
common_voice_pt_34647087|Em abril, duas horas de sono é dormir.
common_voice_pt_34647088|Plano de desburocratização
common_voice_pt_34647143|Ele fala sobre sua infância no microfone que ela tinha para o Natal.
common_voice_pt_34647144|Iepê
common_voice_pt_34647146|Pilõezinhos
common_voice_pt_34647147|Herveiras
common_voice_pt_34647148|Não encontra resistência diante dos impropérios
common_voice_pt_34647217|De acordo com janeiro, você vai comer o pão do próximo ano.
common_voice_pt_34647218|Neves Paulista
common_voice_pt_34647220|Quem foi o número um?
common_voice_pt_34647221|é assegurado a todos o acesso à informação e resguardado o sigilo da fonte
common_voice_pt_34647222|O que foi notícia ontem?
common_voice_pt_34647828|Caracol traz os chifres que o sol se põe.
common_voice_pt_34647830|Aja como deveria, com a moeda que você paga, você pagará.
common_voice_pt_34647831|Tudo me interessa e nada me prende.
common_voice_pt_34647832|Não, eu não vejo nada.
common_voice_pt_34647833|Carnaval e Quinta-feira Santa sem lua nunca serão vistos.
common_voice_pt_34648238|Descobriu falha absurda no código do site
common_voice_pt_34648239|Como último recurso, você pode contratar uma pessoa fora da escola.
common_voice_pt_34648240|Quem canta mal, gritos de chuva.
common_voice_pt_34648242|Comodoro
common_voice_pt_34648243|Você pode amaldiçoar a verdade, mas você não pode quebrá-la.
common_voice_pt_34886658|Doze netos e netas ao todo
common_voice_pt_34886659|Feliz Natal
common_voice_pt_34886660|Ipumirim
common_voice_pt_34886661|Ele tentou coletar estrume da rua e vendê-los, mas ele não saiu.
common_voice_pt_34886662|Carlópolis
common_voice_pt_34886673|Gozando de saúde, amor e alegria
common_voice_pt_34886674|A enfermaria atravessa a porta e sai do fumeiro.
common_voice_pt_34886675|Palmitinho
common_voice_pt_34886676|Um pássaro que cresce duas vezes terá descascado a carpa.
common_voice_pt_34886677|Belém do Piauí
common_voice_pt_34886693|Terra de Areia
common_voice_pt_34886694|Diário do Centro do Mundo
common_voice_pt_34886695|Esperança do Sul
common_voice_pt_34886696|Os tempos voltam, mas nunca o que eles trazem.
common_voice_pt_34886697|Poranga
common_voice_pt_34886708|Concórdia do Pará
common_voice_pt_34886709|Jari
common_voice_pt_34886710|Meu pai renunciou para obter uma posição melhor.
common_voice_pt_34886711|Isso quebrou o coração para as três mulheres.
common_voice_pt_34886712|Nós medimos a palavra com um bastão, pessoas em palavras.
common_voice_pt_34886734|Para a primeira colherada, voe.
common_voice_pt_34886735|Havia sangue por toda parte.
common_voice_pt_34886736|Na feira, quem não traz nada, nada para.
common_voice_pt_34886737|Três Barras do Paraná
common_voice_pt_34886738|Nunca foi uma desculpa para parar de praticar
common_voice_pt_34886756|Sem dúvida?
common_voice_pt_34886757|Candelária
common_voice_pt_34886758|Bela Vista do Piauí
common_voice_pt_34886759|Nazaré da Mata
common_voice_pt_34886760|Capelinha
common_voice_pt_34886778|Não havia nada a dizer.
common_voice_pt_34886779|Ibotirama
common_voice_pt_34886780|O que isso poderia significar?
common_voice_pt_34886781|Eu moro em Bangor.
common_voice_pt_34886782|O sol é velho, mas quente.
common_voice_pt_34886803|Se não nos apressarmos, seremos salgados.
common_voice_pt_34886806|Até aí as cousas.
common_voice_pt_34886808|Turiaçu
common_voice_pt_34886809|No bolo de madeira, procure a vez.
common_voice_pt_34886810|Catingueira
common_voice_pt_34886828|Bandejas muitas vezes fizeram a lei nas caixas.
common_voice_pt_34886829|Havia apenas um par de irmãos.
common_voice_pt_34886830|Chapada dos Guimarães
common_voice_pt_34886831|Ano das aves, ano dos tropos.
common_voice_pt_34886832|Riachão do Poço
common_voice_pt_34886853|Ele sai para comprar coisas
common_voice_pt_34886854|Campos do Jordão
common_voice_pt_34886855|Eu admito isso.
common_voice_pt_34886856|Estiva Gerbi
common_voice_pt_34886857|Inclui todas as taxas.
common_voice_pt_34886863|Espírito Santo do Turvo
common_voice_pt_34886864|Alpercata
common_voice_pt_34886865|Branquinha
common_voice_pt_34886866|Tecendo e filmando, a vida está acontecendo.
common_voice_pt_34886867|Meu pai ainda está descansando.
common_voice_pt_34886888|Por que você olha à distância, mas quando a sorte está ao seu lado.
common_voice_pt_34886889|Homem casado, homem doado.
common_voice_pt_34886890|Gurinhatã
common_voice_pt_34886891|Fogo é meia vida
common_voice_pt_34886892|Você esquece o poder que as mulheres têm.
common_voice_pt_34886907|A marca M é usada para homens.
common_voice_pt_34886908|Santa Tereza do Oeste
common_voice_pt_34886909|A velha vassoura conhece todos os cantos.
common_voice_pt_34886910|Medicilândia
common_voice_pt_34886912|São Valentim do Sul
common_voice_pt_34886928|Oh sim.
common_voice_pt_34886929|Theobroma
common_voice_pt_34886930|Para novembro, quem não plantou, para lembrar.
common_voice_pt_34886931|Grande seco, ótimo encharcado.
common_voice_pt_34886932|Itarantim
common_voice_pt_34886953|Cocalzinho de Goiás
common_voice_pt_34886954|A verdade não precisa de sabão porque é bonita por natureza.
common_voice_pt_34886955|Assaré
common_voice_pt_34886956|O que eles fazem
common_voice_pt_34886957|San Juan na sexta-feira, colheita de cinzas.
common_voice_pt_34963487|Não tão feliz
common_voice_pt_34963488|Às suas ordens, mestra
common_voice_pt_34963489|Lambari
common_voice_pt_34963490|Lapa
common_voice_pt_34963491|Bom vinho e uma mulher bonita - estes são os dois venenos mais bonitos.
common_voice_pt_34963502|Pimenta
common_voice_pt_34963503|Relvado
common_voice_pt_34963504|São José da Boa Vista
common_voice_pt_34963505|Encerramento de um ciclo, início de outro
common_voice_pt_34963506|Benedito Novo
common_voice_pt_34963577|Cassilândia
common_voice_pt_34963578|Atrai os pequeninos de maneira diferente.
common_voice_pt_34963579|Dracena
common_voice_pt_34963580|Eles iam lutar contra a maior enguia do ano para ajudar a festa.
common_voice_pt_34963581|Em setembro, chuvas e tempestades de manhã.
common_voice_pt_34963587|Beleza puxa mais de dez volumes.
common_voice_pt_34963588|O navio foi esmagado em uma crista afiada.
common_voice_pt_34963589|Monte Alegre do Piauí
common_voice_pt_34963590|Lembre-se, ela é duas horas agora, então é melhor encontrá-los lá.
common_voice_pt_34963591|Itamonte
common_voice_pt_34963597|E disse-lhe: vós sois deuses
common_voice_pt_34963598|Ourolândia
common_voice_pt_34963599|Estou com muita risada esta semana.
common_voice_pt_34963600|Palmital
common_voice_pt_34963601|Arealva
common_voice_pt_34963602|Tabuleiro
common_voice_pt_34963603|Bela Vista do Paraíso
common_voice_pt_34963604|Rancho Alegre
common_voice_pt_34963605|Outras funções de natureza semelhante que podem ser ordenadas pelo seu superior hierárquico.
common_voice_pt_34963606|Eles nos mantêm do lado ao qual nos inclinamos.
common_voice_pt_34963612|A casa no canto; e a vinha, no canto.
common_voice_pt_34963613|Embora nós comemos muito devagar
common_voice_pt_34963614|Campina das Missões
common_voice_pt_34963615|Jaramataia
common_voice_pt_34963616|Vila Nova do Piauí
common_voice_pt_34963617|Circundou todo o perímetro urbano
common_voice_pt_34963618|Bem eu não sei.
common_voice_pt_34963619|Aquela noite foi a última da feira.
common_voice_pt_34963620|Almino Afonso
common_voice_pt_34963621|Seritinga
common_voice_pt_34965655|Para a viúva, tudo fica ferrado.
common_voice_pt_34965656|Injetando o soro na veia
common_voice_pt_34965657|Borborema
common_voice_pt_34965658|Águia Branca
common_voice_pt_34965659|A amostra de controlo foi tratada como a amostra de teste.
common_voice_pt_34965660|Carros e ônibus pararam em focas nevadas.
common_voice_pt_34965662|Procure a fotografia premiada na competição
common_voice_pt_34965663|Boa fama, a capa do ladrão.
common_voice_pt_34965664|Aiuaba
common_voice_pt_34965665|E, por fim, tenho sono
common_voice_pt_34965666|Chuí
common_voice_pt_34965667|Chegou, entrou e mandou seguir a trote largo.
common_voice_pt_34965668|A depilação a laser visa impedir o crescimento de novos pelos
common_voice_pt_34965669|Simplício Mendes
common_voice_pt_34965670|Ela tatuou a panturrilha
common_voice_pt_34965671|Jucati
common_voice_pt_34965672|Atalanta
common_voice_pt_34965673|Ibertioga
common_voice_pt_34965674|Coronel João Pessoa
common_voice_pt_34965675|Guarantã
common_voice_pt_34965676|Umbaúba
common_voice_pt_34965677|Eu sou mãe.
common_voice_pt_34965678|Vespasiano Corrêa
common_voice_pt_34965679|O vento levantou-se...
common_voice_pt_34965680|Estrela
common_voice_pt_34965681|O pão de cor e vinho a gosto.
common_voice_pt_34965682|Ignore como eles chegaram aqui e que milagre eles fazem quando a primavera começa.
common_voice_pt_34965683|A neve em fevereiro é lançada com pernas de galgos.
common_voice_pt_34965684|Janeiro e fevereiro comem mais do que o mundo inteiro.
common_voice_pt_34965685|Perolândia
common_voice_pt_34965686|Fronteira dos Vales
common_voice_pt_34965687|Santa Cruz da Conceição
common_voice_pt_34965688|Faça grandes lucros
common_voice_pt_34965690|Macuco
common_voice_pt_34965691|Nós viemos de Monistrol de Montserrat.
common_voice_pt_34965692|Montar uma locomotiva é conveniente e barato
common_voice_pt_34965693|Calúnia e difamação serão julgadas no foro especializado
common_voice_pt_34965694|Dados são o novo petróleo
common_voice_pt_34965695|Se o Natal cair na quinta-feira, dobre o arado e venda os touros.
common_voice_pt_34965696|Cantagalo
common_voice_pt_34965697|Honrando?
common_voice_pt_34965698|Américo de Campos
common_voice_pt_34965699|Professor Jamil
common_voice_pt_34965700|Nossa Senhora dos Remédios
common_voice_pt_34965701|Nazaré
common_voice_pt_34965702|Onde é a casa?
common_voice_pt_34965703|Sebastião Laranjeiras
common_voice_pt_34965704|Iguaí
common_voice_pt_35002214|Martinópole
common_voice_pt_35002215|Regente Feijó
common_voice_pt_35002216|Convergindo para um mesmo ponto
common_voice_pt_35002217|Brejo do Piauí
common_voice_pt_35002218|Carnaúba dos Dantas
common_voice_pt_35002219|Outro cachorro gosta de comer a paz.
common_voice_pt_35002220|Ipuiuna
common_voice_pt_35002221|Não foi assim.
common_voice_pt_35002222|Iguatemi
common_voice_pt_35002223|Somente pessoas podem viver na água.
common_voice_pt_35002224|Guia Lopes da Laguna
common_voice_pt_35002225|Icapuí
common_voice_pt_35002226|Itacarambi
common_voice_pt_35002227|Diamante
common_voice_pt_35002228|Garruchos
common_voice_pt_35002229|Ainda estamos no tempo quando é livre.
common_voice_pt_35002230|Novo Cruzeiro
common_voice_pt_35002231|Inhaúma
common_voice_pt_35002232|Porto da Folha
common_voice_pt_35002233|Assu
common_voice_pt_35002234|O vinho de agosto não faz suco.
common_voice_pt_35002235|Amigos, dinheiro e collons são para as ocasiões.
common_voice_pt_35002236|Iraceminha
common_voice_pt_35002237|Buritinópolis
common_voice_pt_35002238|Nova Floresta
common_voice_pt_35002239|Davinópolis
common_voice_pt_35002240|Isso é medalha?
common_voice_pt_35002241|Tunas
common_voice_pt_35002242|União de Minas
common_voice_pt_35002243|Eu sou Sion
common_voice_pt_35002244|Irapuã
common_voice_pt_35002245|Constantina
common_voice_pt_35002246|São José de Piranhas
common_voice_pt_35002247|Aparecida do Taboado
common_voice_pt_35002248|Mandado de injunção, habeas corpus e habeas data
common_voice_pt_35002250|Resende Costa
common_voice_pt_35002251|O peixinho, depois de uma hora.
common_voice_pt_35002252|Santa Cruz do Xingu
common_voice_pt_35002253|Ele criou filhos, ele cresceu corvos.
common_voice_pt_35002254|São Miguel das Matas
common_voice_pt_35002255|O que eles são
common_voice_pt_35002256|Terezópolis de Goiás
common_voice_pt_35002257|O que está acontecendo na história com suas próprias palavras?
common_voice_pt_35002258|Salvador do Sul
common_voice_pt_35002259|Itapajé
common_voice_pt_35002260|Érico Cardoso
common_voice_pt_35002261|Quem paga um pouco, paga caro.
common_voice_pt_35002262|que é possível crer
common_voice_pt_35002263|Maravilhas
common_voice_pt_35002264|Serra Redonda
common_voice_pt_35002265|Dona Inês
common_voice_pt_35002266|Marilândia
common_voice_pt_35002267|O amor dá nascimento ao amor.
common_voice_pt_35002268|Paineiras
common_voice_pt_35002269|Santa Maria do Salto
common_voice_pt_35002270|Começamos com alegria e tivemos boas intuições
common_voice_pt_35002271|Ribeiro Gonçalves
common_voice_pt_35002272|Ele errou
common_voice_pt_35002273|O pequeno peixe da lua morta carrega.
common_voice_pt_35002274|Nova Módica
common_voice_pt_35002275|Oliveira
common_voice_pt_35002276|Palotina
common_voice_pt_35002277|A água do mar é remédio.
common_voice_pt_35002278|Santa Bárbara do Monte Verde
common_voice_pt_35002279|Ribeira do Amparo
common_voice_pt_35002280|Verão seco, primavera outono.
common_voice_pt_35002281|Aqueles de nós que estão acima têm que olhar muito bem todas essas coisas.
common_voice_pt_35002282|Quem não tem dente já é um canto.
common_voice_pt_35002284|Santa Quitéria
common_voice_pt_35002285|Estiva
common_voice_pt_35002286|Mato Queimado
common_voice_pt_35002287|Passagem Franca
common_voice_pt_35002288|Morro do Chapéu do Piauí
common_voice_pt_35002289|Ariranha
common_voice_pt_35002290|A partir deste momento, eles datam a Canção do Sol e o irmão Testamento.
common_voice_pt_35002291|Não havia nada.
common_voice_pt_35002292|Felicidade é uma coragem.
common_voice_pt_35002293|Parapuã
common_voice_pt_35002294|Fagundes Varela
common_voice_pt_35002295|Se em janeiro o mérito passa pelo jardim, atire e feche a porta.
common_voice_pt_35002296|Dores do Turvo
common_voice_pt_35002298|O carrinho é feito de plástico
common_voice_pt_35002299|Olhou pelo retrovisor
common_voice_pt_35002300|Tonantins
common_voice_pt_35002301|As crianças custam nove meses de doença e uma vida inteira de convalescença.
common_voice_pt_35002302|Meninos e piolhos, eles fecham a casa.
common_voice_pt_35002303|Fronteiras
common_voice_pt_35002304|Nioaque
common_voice_pt_35002305|Não há carga mais pesada que uma mulher leve.
common_voice_pt_35002306|De tarde ou primeiro, Carnaval em fevereiro.
common_voice_pt_35002308|Dores de Guanhães
common_voice_pt_35002309|Catunda
common_voice_pt_35002310|Segunda-feira é o domingo da preguiça.
